id,shelf,platform,title,source,genre,genre_source,family,verdict,verdict_why,venue_fit,tier,play,status
D-20092012-0021,D,2009-2012,Zombieville USA,memory,,,,,,,3,,todo
D-20092012-0022,D,2009-2012,Canabalt,memory,,,,,,,3,,todo
D-20092012-0023,D,2009-2012,Robot Unicorn Attack,memory,,,,,,,3,,todo
D-20092012-0024,D,2009-2012,Osmos,memory,,,,,,,3,,todo
D-20092012-0025,D,2009-2012,Flight Control,memory,Simulation,inferred,育てる・回す,不明,積み上げ型。1プレイの終わりに正誤が出ない,,3,,todo
D-20092012-0026,D,2009-2012,Harbor Master,memory,,,,,,,3,,todo
D-20092012-0027,D,2009-2012,Pocket God,memory,,,,,,,3,,todo
D-20092012-0028,D,2009-2012,Rolando,memory,,,,,,,3,,todo
D-20092012-0029,D,2009-2012,Trism,memory,,,,,,,3,,todo
D-20092012-0030,D,2009-2012,Zen Bound,memory,,,,,,,3,,todo
D-20092012-0031,D,2009-2012,Spider: The Secret of Bryce Manor,memory,,,,,,,3,,todo
D-20092012-0032,D,2009-2012,Enigmo,memory,,,,,,,3,,todo
D-20092012-0033,D,2009-2012,Bookworm,memory,,,,,,,3,,todo
D-20092012-0034,D,2009-2012,Peggle,memory,,,,,,,3,,todo
D-20092012-0035,D,2009-2012,Bejeweled,memory,,,,,,,3,,todo
D-20092012-0036,D,2009-2012,Bejeweled Blitz,memory,,,,,,,3,,todo
D-20092012-0037,D,2009-2012,Zuma,memory,,,,,,,3,,todo
D-20092012-0038,D,2009-2012,Chuzzle,memory,,,,,,,3,,todo
D-20092012-0039,D,2009-2012,Tetris,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20092012-0040,D,2009-2012,Solitaire,memory,Board,inferred,盤・札,半,勝敗は明だが、1手で満足したかは局面次第,bar+shokudo,2,,todo
D-20092012-0041,D,2009-2012,Sudoku,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20092012-0042,D,2009-2012,Mahjong,memory,Board,inferred,盤・札,半,勝敗は明だが、1手で満足したかは局面次第,bar+shokudo,2,,todo
D-20092012-0043,D,2009-2012,Minesweeper,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20092012-0044,D,2009-2012,Paper Toss,memory,,,,,,,3,,todo
D-20092012-0045,D,2009-2012,Tap Tap Ants,memory,,,,,,,3,,todo
D-20092012-0046,D,2009-2012,Line Runner,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20092012-0047,D,2009-2012,Ninjump,memory,,,,,,,3,,todo
D-20092012-0048,D,2009-2012,Stick Cricket,memory,,,,,,,3,,todo
D-20092012-0049,D,2009-2012,Pocket Frogs,memory,,,,,,,3,,todo
D-20092012-0050,D,2009-2012,Tiny Tower,memory,,,,,,,3,,todo
D-20092012-0051,D,2009-2012,Pocket Planes,memory,,,,,,,3,,todo
D-20092012-0052,D,2009-2012,Hay Day,memory,,,,,,,3,,todo
D-20092012-0053,D,2009-2012,Bloons TD,memory,,,,,,,3,,todo
D-20092012-0054,D,2009-2012,Kingdom Rush,memory,,,,,,,3,,todo
D-20092012-0055,D,2009-2012,Fieldrunners,memory,,,,,,,3,,todo
D-20092012-0056,D,2009-2012,World of Goo,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20092012-0057,D,2009-2012,Sword & Sworcery,memory,,,,,,,3,,todo
D-20092012-0058,D,2009-2012,Puzzle & Dragons,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20092012-0059,D,2009-2012,パズル&ドラゴンズ,memory,,,,,,,3,,todo
D-20092012-0060,D,2009-2012,怪盗ロワイヤル,memory,,,,,,,3,,todo
D-20092012-0061,D,2009-2012,釣りスタ,memory,,,,,,,3,,todo
D-20092012-0062,D,2009-2012,サンシャイン牧場,memory,,,,,,,3,,todo
D-20092012-0063,D,2009-2012,ドラゴンコレクション,memory,,,,,,,3,,todo
D-20092012-0064,D,2009-2012,探検ドリランド,memory,,,,,,,3,,todo
D-20092012-0065,D,2009-2012,神撃のバハムート,memory,,,,,,,3,,todo
D-20092012-0066,D,2009-2012,農園ホッコリーナ,memory,,,,,,,3,,todo
D-20092012-0067,D,2009-2012,拡散性ミリオンアーサー,memory,,,,,,,3,,todo
D-20092012-0068,D,2009-2012,戦国コレクション,memory,,,,,,,3,,todo
D-20092012-0069,D,2009-2012,LINE POP,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20092012-0070,D,2009-2012,LINE バブル,memory,,,,,,,3,,todo
D-20092012-0071,D,2009-2012,LINE ポコパン,memory,,,,,,,3,,todo
D-20092012-0072,D,2009-2012,LINE ウィンドランナー,memory,,,,,,,3,,todo
D-20092012-0073,D,2009-2012,ケリ姫スイーツ,memory,,,,,,,3,,todo
D-20092012-0074,D,2009-2012,チャリ走,memory,,,,,,,3,,todo
D-20092012-0075,D,2009-2012,ねこあつめ,memory,,,,,,,3,,todo
D-20092012-0076,D,2009-2012,ぐんまのやぼう,memory,,,,,,,3,,todo
D-20092012-0077,D,2009-2012,にゃんこ大戦争,memory,,,,,,,3,,todo
D-20092012-0078,D,2009-2012,Ingress,memory,,,,,,,3,,todo
D-20092012-0079,D,2009-2012,Clash of Clans,memory,,,,,,,3,,todo
D-20132016-0001,D,2013-2016,Flappy Bird,memory,,,,,,,3,,todo
D-20132016-0002,D,2013-2016,2048,memory,,,,,,,3,,todo
D-20132016-0003,D,2013-2016,Threes!,memory,,,,,,,3,,todo
D-20132016-0004,D,2013-2016,Crossy Road,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20132016-0005,D,2013-2016,Monument Valley,memory,,,,,,,3,,todo
D-20132016-0006,D,2013-2016,Hearthstone,memory,,,,,,,3,,todo
D-20132016-0007,D,2013-2016,Clash Royale,memory,,,,,,,3,,todo
D-20132016-0008,D,2013-2016,Boom Beach,memory,,,,,,,3,,todo
D-20132016-0009,D,2013-2016,Candy Crush Saga,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20132016-0010,D,2013-2016,Candy Crush Soda Saga,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20132016-0011,D,2013-2016,Farm Heroes Saga,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20132016-0012,D,2013-2016,Pet Rescue Saga,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20132016-0013,D,2013-2016,Bubble Witch Saga,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20132016-0014,D,2013-2016,Dots,memory,,,,,,,3,,todo
D-20132016-0015,D,2013-2016,TwoDots,memory,,,,,,,3,,todo
D-20132016-0016,D,2013-2016,Alto's Adventure,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20132016-0017,D,2013-2016,Badland,memory,,,,,,,3,,todo
D-20132016-0018,D,2013-2016,Leo's Fortune,memory,Gambling,inferred,賭け・運,明,当たり外れが一瞬で出る。腕に関係なく満足/不満足が決まる,bar+shokudo+kanko,2,,todo
D-20132016-0019,D,2013-2016,Limbo,memory,,,,,,,3,,todo
D-20132016-0020,D,2013-2016,The Room,memory,,,,,,,3,,todo
D-20132016-0021,D,2013-2016,The Room Two,memory,,,,,,,3,,todo
D-20132016-0022,D,2013-2016,Lifeline,memory,,,,,,,3,,todo
D-20132016-0023,D,2013-2016,Reigns,memory,,,,,,,3,,todo
D-20132016-0024,D,2013-2016,Device 6,memory,,,,,,,3,,todo
D-20132016-0025,D,2013-2016,80 Days,memory,,,,,,,3,,todo
D-20132016-0026,D,2013-2016,Her Story,memory,,,,,,,3,,todo
D-20132016-0027,D,2013-2016,Fallout Shelter,memory,,,,,,,3,,todo
D-20132016-0028,D,2013-2016,Trivia Crack,memory,,,,,,,3,,todo
D-20132016-0029,D,2013-2016,QuizUp,memory,,,,,,,3,,todo
D-20132016-0030,D,2013-2016,Piano Tiles,memory,Music / Dancing,inferred,音に乗る,明,拍ごとに良し悪しが出る。画面を見なくても分かる,bar+kanko,2,,todo
D-20132016-0031,D,2013-2016,Don't Tap the White Tile,memory,,,,,,,3,,todo
D-20132016-0032,D,2013-2016,Geometry Dash,memory,,,,,,,3,,todo
D-20132016-0033,D,2013-2016,Smash Hit,memory,,,,,,,3,,todo
D-20132016-0034,D,2013-2016,Does not Commute,memory,,,,,,,3,,todo
D-20132016-0035,D,2013-2016,Duet,memory,,,,,,,3,,todo
D-20132016-0036,D,2013-2016,Dumb Ways to Die,memory,,,,,,,3,,todo
D-20132016-0037,D,2013-2016,Swing Copters,memory,,,,,,,3,,todo
D-20132016-0038,D,2013-2016,Timberman,memory,,,,,,,3,,todo
D-20132016-0039,D,2013-2016,Color Switch,memory,,,,,,,3,,todo
D-20132016-0040,D,2013-2016,Rolling Sky,memory,,,,,,,3,,todo
D-20132016-0041,D,2013-2016,Stack,memory,,,,,,,3,,todo
D-20132016-0042,D,2013-2016,ZigZag,memory,,,,,,,3,,todo
D-20132016-0043,D,2013-2016,Ballz,memory,,,,,,,3,,todo
D-20132016-0044,D,2013-2016,Dune!,memory,,,,,,,3,,todo
D-20132016-0045,D,2013-2016,Twist,memory,,,,,,,3,,todo
D-20132016-0046,D,2013-2016,Sling Drift,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20132016-0047,D,2013-2016,Helix Jump,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20132016-0048,D,2013-2016,Lara Croft GO,memory,Board,inferred,盤・札,半,勝敗は明だが、1手で満足したかは局面次第,bar+shokudo,2,,todo
D-20132016-0049,D,2013-2016,Hitman GO,memory,Board,inferred,盤・札,半,勝敗は明だが、1手で満足したかは局面次第,bar+shokudo,2,,todo
D-20132016-0050,D,2013-2016,Framed,memory,,,,,,,3,,todo
D-20132016-0051,D,2013-2016,Prune,memory,,,,,,,3,,todo
D-20132016-0052,D,2013-2016,Threes,memory,,,,,,,3,,todo
D-20132016-0053,D,2013-2016,Blek,memory,,,,,,,3,,todo
D-20132016-0054,D,2013-2016,Hundreds,memory,,,,,,,3,,todo
D-20132016-0055,D,2013-2016,Ridiculous Fishing,memory,Hunting and Fishing,inferred,狩る・釣る,明,釣れた/逃したが一目。大きさで満足が決まる,shokudo+kanko,2,,todo
D-20132016-0056,D,2013-2016,Super Hexagon,memory,,,,,,,3,,todo
D-20132016-0057,D,2013-2016,Desert Golfing,memory,,,,,,,3,,todo
D-20132016-0058,D,2013-2016,Mini Metro,memory,,,,,,,3,,todo
D-20132016-0059,D,2013-2016,Plague Inc.,memory,,,,,,,3,,todo
D-20132016-0060,D,2013-2016,Fire Emblem Heroes,memory,,,,,,,3,,todo
D-20132016-0061,D,2013-2016,Super Mario Run,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20132016-0062,D,2013-2016,Pokémon GO,memory,Board,inferred,盤・札,半,勝敗は明だが、1手で満足したかは局面次第,bar+shokudo,2,,todo
D-20132016-0063,D,2013-2016,モンスターストライク,memory,,,,,,,3,,todo
D-20132016-0064,D,2013-2016,白猫プロジェクト,memory,,,,,,,3,,todo
D-20132016-0065,D,2013-2016,妖怪ウォッチ ぷにぷに,memory,,,,,,,3,,todo
D-20132016-0066,D,2013-2016,LINE ディズニー ツムツム,memory,,,,,,,3,,todo
D-20132016-0067,D,2013-2016,LINE レンジャー,memory,,,,,,,3,,todo
D-20132016-0068,D,2013-2016,LINE ポコポコ,memory,,,,,,,3,,todo
D-20132016-0069,D,2013-2016,実況パワフルプロ野球,memory,,,,,,,3,,todo
D-20132016-0070,D,2013-2016,刀剣乱舞,memory,,,,,,,3,,todo
D-20132016-0071,D,2013-2016,艦隊これくしょん,memory,,,,,,,3,,todo
D-20132016-0072,D,2013-2016,グランブルーファンタジー,memory,,,,,,,3,,todo
D-20132016-0073,D,2013-2016,Fate/Grand Order,memory,,,,,,,3,,todo
D-20132016-0074,D,2013-2016,剣と魔法のログレス,memory,,,,,,,3,,todo
D-20132016-0075,D,2013-2016,逆転オセロニア,memory,,,,,,,3,,todo
D-20132016-0076,D,2013-2016,遊戯王 デュエルリンクス,memory,,,,,,,3,,todo
D-20132016-0077,D,2013-2016,アイドルマスター シンデレラガールズ スターライトステージ,memory,,,,,,,3,,todo
D-20132016-0078,D,2013-2016,ラブライブ! スクールアイドルフェスティバル,memory,,,,,,,3,,todo
D-20132016-0079,D,2013-2016,バンドリ! ガールズバンドパーティ!,memory,,,,,,,3,,todo
D-20132016-0080,D,2013-2016,消滅都市,memory,,,,,,,3,,todo
D-20132016-0081,D,2013-2016,テラバトル,memory,,,,,,,3,,todo
D-20132016-0082,D,2013-2016,ブレイブフロンティア,memory,,,,,,,3,,todo
D-20132016-0083,D,2013-2016,チェインクロニクル,memory,,,,,,,3,,todo
D-20132016-0084,D,2013-2016,シャドウバース,memory,,,,,,,3,,todo
D-20132016-0085,D,2013-2016,ドラゴンクエストモンスターズ スーパーライト,memory,,,,,,,3,,todo
D-20132016-0086,D,2013-2016,星のドラゴンクエスト,memory,,,,,,,3,,todo
D-20132016-0087,D,2013-2016,ファイナルファンタジー ブレイブエクスヴィアス,memory,,,,,,,3,,todo
D-20132016-0088,D,2013-2016,クロッシーロード,memory,,,,,,,3,,todo
D-20132016-0089,D,2013-2016,どうぶつタワーバトル,memory,,,,,,,3,,todo
D-20132016-0090,D,2013-2016,Slither.io,memory,,,,,,,3,,todo
D-20132016-0091,D,2013-2016,Agar.io,memory,,,,,,,3,,todo
D-20132016-0092,D,2013-2016,Diep.io,memory,,,,,,,3,,todo
D-20172021-0001,D,2017-2021,Aquapark.io,memory,,,,,,,3,,todo
D-20172021-0002,D,2017-2021,Paper.io,memory,,,,,,,3,,todo
D-20172021-0003,D,2017-2021,Paper.io 2,memory,,,,,,,3,,todo
D-20172021-0004,D,2017-2021,Hole.io,memory,,,,,,,3,,todo
D-20172021-0005,D,2017-2021,Crowd City,memory,Simulation,inferred,育てる・回す,不明,積み上げ型。1プレイの終わりに正誤が出ない,,3,,todo
D-20172021-0006,D,2017-2021,Stack Ball,memory,,,,,,,3,,todo
D-20172021-0007,D,2017-2021,Rise Up,memory,,,,,,,3,,todo
D-20172021-0008,D,2017-2021,Draw Climber,memory,,,,,,,3,,todo
D-20172021-0009,D,2017-2021,Perfect Slices,memory,,,,,,,3,,todo
D-20172021-0010,D,2017-2021,Going Balls,memory,,,,,,,3,,todo
D-20172021-0011,D,2017-2021,Flip Trickster,memory,,,,,,,3,,todo
D-20172021-0012,D,2017-2021,Knife Hit,memory,,,,,,,3,,todo
D-20172021-0013,D,2017-2021,Fun Race 3D,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20172021-0014,D,2017-2021,Run Race 3D,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20172021-0015,D,2017-2021,Join Clash,memory,,,,,,,3,,todo
D-20172021-0016,D,2017-2021,Count Masters,memory,,,,,,,3,,todo
D-20172021-0017,D,2017-2021,Bridge Race,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20172021-0018,D,2017-2021,Tangle Master 3D,memory,,,,,,,3,,todo
D-20172021-0019,D,2017-2021,Pull the Pin,memory,,,,,,,3,,todo
D-20172021-0020,D,2017-2021,Hero Rescue,memory,,,,,,,3,,todo
D-20172021-0021,D,2017-2021,Save the Girl,memory,,,,,,,3,,todo
D-20172021-0022,D,2017-2021,Water Sort Puzzle,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0023,D,2017-2021,Parking Jam 3D,memory,,,,,,,3,,todo
D-20172021-0024,D,2017-2021,Wood Nuts & Bolts,memory,,,,,,,3,,todo
D-20172021-0025,D,2017-2021,Screw Puzzle,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0026,D,2017-2021,Sort It 3D,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0027,D,2017-2021,Ball Sort Puzzle,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0028,D,2017-2021,Hoop Stars,memory,,,,,,,3,,todo
D-20172021-0029,D,2017-2021,Dunk Hit,memory,,,,,,,3,,todo
D-20172021-0030,D,2017-2021,Tiles Hop,memory,,,,,,,3,,todo
D-20172021-0031,D,2017-2021,Magic Tiles 3,memory,,,,,,,3,,todo
D-20172021-0032,D,2017-2021,Beat Fire,memory,Music / Dancing,inferred,音に乗る,明,拍ごとに良し悪しが出る。画面を見なくても分かる,bar+kanko,2,,todo
D-20172021-0033,D,2017-2021,Subway Surfers,memory,,,,,,,3,,todo
D-20172021-0034,D,2017-2021,Talking Tom Gold Run,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20172021-0035,D,2017-2021,Brawl Stars,memory,Fighting,inferred,殴る・斬る,明,勝敗が出る。何を食らったかも見える,bar,2,,todo
D-20172021-0036,D,2017-2021,PUBG MOBILE,memory,,,,,,,3,,todo
D-20172021-0037,D,2017-2021,荒野行動,memory,,,,,,,3,,todo
D-20172021-0038,D,2017-2021,Fortnite,memory,,,,,,,3,,todo
D-20172021-0039,D,2017-2021,Among Us,memory,,,,,,,3,,todo
D-20172021-0040,D,2017-2021,Call of Duty: Mobile,memory,,,,,,,3,,todo
D-20172021-0041,D,2017-2021,原神,memory,,,,,,,3,,todo
D-20172021-0042,D,2017-2021,ウマ娘 プリティーダービー,memory,,,,,,,3,,todo
D-20172021-0043,D,2017-2021,プロジェクトセカイ カラフルステージ!,memory,,,,,,,3,,todo
D-20172021-0044,D,2017-2021,あんさんぶるスターズ!! Music,memory,Music / Dancing,inferred,音に乗る,明,拍ごとに良し悪しが出る。画面を見なくても分かる,bar+kanko,2,,todo
D-20172021-0045,D,2017-2021,アイドリッシュセブン,memory,,,,,,,3,,todo
D-20172021-0046,D,2017-2021,崩壊3rd,memory,,,,,,,3,,todo
D-20172021-0047,D,2017-2021,アズールレーン,memory,,,,,,,3,,todo
D-20172021-0048,D,2017-2021,ドールズフロントライン,memory,,,,,,,3,,todo
D-20172021-0049,D,2017-2021,ポケモンマスターズ,memory,,,,,,,3,,todo
D-20172021-0050,D,2017-2021,ポケモンユナイト,memory,,,,,,,3,,todo
D-20172021-0051,D,2017-2021,マリオカート ツアー,memory,,,,,,,3,,todo
D-20172021-0052,D,2017-2021,どうぶつの森 ポケットキャンプ,memory,,,,,,,3,,todo
D-20172021-0053,D,2017-2021,ピクミン ブルーム,memory,,,,,,,3,,todo
D-20172021-0054,D,2017-2021,Archero,memory,,,,,,,3,,todo
D-20172021-0055,D,2017-2021,Survivor.io,memory,,,,,,,3,,todo
D-20172021-0056,D,2017-2021,Vampire Survivors,memory,,,,,,,3,,todo
D-20172021-0057,D,2017-2021,Homescapes,memory,,,,,,,3,,todo
D-20172021-0058,D,2017-2021,Gardenscapes,memory,,,,,,,3,,todo
D-20172021-0059,D,2017-2021,Fishdom,memory,,,,,,,3,,todo
D-20172021-0060,D,2017-2021,Toon Blast,memory,,,,,,,3,,todo
D-20172021-0061,D,2017-2021,Toy Blast,memory,,,,,,,3,,todo
D-20172021-0062,D,2017-2021,Coin Master,memory,Gambling,inferred,賭け・運,明,当たり外れが一瞬で出る。腕に関係なく満足/不満足が決まる,bar+shokudo+kanko,2,,todo
D-20172021-0063,D,2017-2021,Royal Match,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0064,D,2017-2021,Merge Dragons,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0065,D,2017-2021,Merge Mansion,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0066,D,2017-2021,Idle Miner Tycoon,memory,Simulation,inferred,育てる・回す,不明,積み上げ型。1プレイの終わりに正誤が出ない,,3,,todo
D-20172021-0067,D,2017-2021,AdVenture Capitalist,memory,Adventure,inferred,探す・選ぶ,不明,1プレイでは何も定まらない。「選んだ」だけで正誤も満足も出ない,,3,,todo
D-20172021-0068,D,2017-2021,Cookie Clicker,memory,,,,,,,3,,todo
D-20172021-0069,D,2017-2021,Tap Titans,memory,,,,,,,3,,todo
D-20172021-0070,D,2017-2021,Snake.io,memory,,,,,,,3,,todo
D-20172021-0071,D,2017-2021,Worms Zone,memory,,,,,,,3,,todo
D-20172021-0072,D,2017-2021,Sand Balls,memory,,,,,,,3,,todo
D-20172021-0073,D,2017-2021,Tricky Test,memory,Quiz,inferred,答える,明,正誤が即出る。何問取れたかで満足が決まる,shokudo,2,,todo
D-20172021-0074,D,2017-2021,Brain Out,memory,Quiz,inferred,答える,明,正誤が即出る。何問取れたかで満足が決まる,shokudo,2,,todo
D-20172021-0075,D,2017-2021,Brain Test,memory,Quiz,inferred,答える,明,正誤が即出る。何問取れたかで満足が決まる,shokudo,2,,todo
D-20172021-0076,D,2017-2021,Word Cookies,memory,,,,,,,3,,todo
D-20172021-0077,D,2017-2021,Wordscapes,memory,,,,,,,3,,todo
D-20172021-0078,D,2017-2021,Word Connect,memory,,,,,,,3,,todo
D-20172021-0079,D,2017-2021,Tiles Hop,memory,,,,,,,3,,todo
D-20172021-0080,D,2017-2021,Dancing Line,memory,Music / Dancing,inferred,音に乗る,明,拍ごとに良し悪しが出る。画面を見なくても分かる,bar+kanko,2,,todo
D-20172021-0081,D,2017-2021,Dancing Road,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20172021-0082,D,2017-2021,Sky Ball,memory,,,,,,,3,,todo
D-20172021-0083,D,2017-2021,Jump Ball,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20172021-0084,D,2017-2021,Color Bump 3D,memory,,,,,,,3,,todo
D-20172021-0085,D,2017-2021,Color Road,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20172021-0086,D,2017-2021,Roller Splat,memory,,,,,,,3,,todo
D-20172021-0087,D,2017-2021,Kick the Buddy,memory,,,,,,,3,,todo
D-20172021-0088,D,2017-2021,Happy Glass,memory,,,,,,,3,,todo
D-20172021-0089,D,2017-2021,Love Balls,memory,,,,,,,3,,todo
D-20172021-0090,D,2017-2021,Draw It,memory,,,,,,,3,,todo
D-20172021-0091,D,2017-2021,Dig This,memory,,,,,,,3,,todo
D-20172021-0092,D,2017-2021,Sandwich!,memory,,,,,,,3,,todo
D-20172021-0093,D,2017-2021,Hair Challenge,memory,,,,,,,3,,todo
D-20172021-0094,D,2017-2021,High Heels!,memory,,,,,,,3,,todo
D-20172021-0095,D,2017-2021,Tall Man Run,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20172021-0096,D,2017-2021,Shortcut Run,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20172021-0097,D,2017-2021,Fat 2 Fit,memory,,,,,,,3,,todo
D-20172021-0098,D,2017-2021,Blob Runner 3D,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20172021-0099,D,2017-2021,Giant Rush,memory,,,,,,,3,,todo
D-20172021-0100,D,2017-2021,Merge Master,memory,Puzzle,inferred,解く,半,解けた/解けないは明。時間内の出来の良し悪しは見せ方次第,shokudo+kanko,2,,todo
D-20172021-0101,D,2017-2021,Cube Surfer,memory,,,,,,,3,,todo
D-20172021-0102,D,2017-2021,Shape Shifter,memory,,,,,,,3,,todo
D-20172021-0103,D,2017-2021,Stacky Dash,memory,,,,,,,3,,todo
D-20172021-0104,D,2017-2021,Slice It All,memory,,,,,,,3,,todo
D-20172021-0105,D,2017-2021,ASMR Slicing,memory,,,,,,,3,,todo
D-20172021-0106,D,2017-2021,Soap Cutting,memory,,,,,,,3,,todo
D-20172021-0107,D,2017-2021,Kinetic Sand,memory,,,,,,,3,,todo
D-20172021-0108,D,2017-2021,Slime Simulator,memory,,,,,,,3,,todo
