# id	verdict(明|半|不明)	why   — GH 386 行: play 文からの規則判定(点/勝敗/当たり外れが残る=明、選択のみ=不明、他=半)。要目視レビュー
GH-PS-0005	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0006	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0007	明	点/勝敗/当たり外れが残る
GH-PS-0008	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0009	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0010	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0011	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0012	明	点/勝敗/当たり外れが残る
GH-PS-0013	明	点/勝敗/当たり外れが残る
GH-PS-0014	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0015	明	点/勝敗/当たり外れが残る
GH-PS-0016	明	点/勝敗/当たり外れが残る
GH-PS-0017	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0018	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0019	明	点/勝敗/当たり外れが残る
GH-PS-0020	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0021	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0022	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0023	明	点/勝敗/当たり外れが残る
GH-PS-0024	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0025	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0026	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0027	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0028	明	点/勝敗/当たり外れが残る
GH-PS-0029	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0030	明	点/勝敗/当たり外れが残る
GH-PS-0031	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0032	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0033	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0034	明	点/勝敗/当たり外れが残る
GH-PS-0035	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0036	明	点/勝敗/当たり外れが残る
GH-PS-0037	明	点/勝敗/当たり外れが残る
GH-PS-0038	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0039	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0040	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0041	明	点/勝敗/当たり外れが残る
GH-PS-0042	明	点/勝敗/当たり外れが残る
GH-PS-0043	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0044	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0045	明	点/勝敗/当たり外れが残る
GH-PS-0046	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0047	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0048	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0049	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0050	明	点/勝敗/当たり外れが残る
GH-PS-0051	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0052	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0053	不明	選んだだけで正誤も満足も出ない
GH-PS-0054	明	点/勝敗/当たり外れが残る
GH-PS-0055	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0056	明	点/勝敗/当たり外れが残る
GH-PS-0057	明	点/勝敗/当たり外れが残る
GH-PS-0058	不明	選んだだけで正誤も満足も出ない
GH-PS-0059	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0060	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0061	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0062	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0063	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0064	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0065	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0066	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0067	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0068	明	点/勝敗/当たり外れが残る
GH-PS-0069	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0070	明	点/勝敗/当たり外れが残る
GH-PS-0071	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0072	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0073	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0074	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0075	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0076	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0077	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0078	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0079	明	点/勝敗/当たり外れが残る
GH-PS-0080	明	点/勝敗/当たり外れが残る
GH-PS-0081	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0082	明	点/勝敗/当たり外れが残る
GH-PS-0083	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0084	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0085	明	点/勝敗/当たり外れが残る
GH-PS-0086	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0087	明	点/勝敗/当たり外れが残る
GH-PS-0088	明	点/勝敗/当たり外れが残る
GH-PS-0089	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0090	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0091	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0092	明	点/勝敗/当たり外れが残る
GH-PS-0093	明	点/勝敗/当たり外れが残る
GH-PS-0094	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0095	不明	選んだだけで正誤も満足も出ない
GH-PS-0096	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0097	不明	選んだだけで正誤も満足も出ない
GH-PS-0098	明	点/勝敗/当たり外れが残る
GH-PS-0099	明	点/勝敗/当たり外れが残る
GH-PS-0100	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0101	明	点/勝敗/当たり外れが残る
GH-PS-0102	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0103	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0104	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0105	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0106	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0107	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0108	不明	選んだだけで正誤も満足も出ない
GH-PS-0109	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0110	明	点/勝敗/当たり外れが残る
GH-PS-0111	明	点/勝敗/当たり外れが残る
GH-PS-0112	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0113	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0114	明	点/勝敗/当たり外れが残る
GH-PS-0115	明	点/勝敗/当たり外れが残る
GH-PS-0116	明	点/勝敗/当たり外れが残る
GH-PS-0117	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0118	明	点/勝敗/当たり外れが残る
GH-PS-0119	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0120	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0121	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0122	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0123	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0124	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0125	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0126	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0127	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0128	明	点/勝敗/当たり外れが残る
GH-PS-0129	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0130	明	点/勝敗/当たり外れが残る
GH-PS-0131	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0132	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0133	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0134	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0135	明	点/勝敗/当たり外れが残る
GH-PS-0136	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0137	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0138	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0139	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0140	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0141	明	点/勝敗/当たり外れが残る
GH-PS-0142	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0143	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0144	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0002	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0003	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0004	明	点/勝敗/当たり外れが残る
GH-PS2-0005	明	点/勝敗/当たり外れが残る
GH-PS2-0006	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0007	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0008	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0009	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0010	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0011	明	点/勝敗/当たり外れが残る
GH-PS2-0012	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0013	明	点/勝敗/当たり外れが残る
GH-PS2-0014	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0015	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0016	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0017	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0018	明	点/勝敗/当たり外れが残る
GH-PS2-0019	明	点/勝敗/当たり外れが残る
GH-PS2-0020	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0021	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0022	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0023	明	点/勝敗/当たり外れが残る
GH-PS2-0024	明	点/勝敗/当たり外れが残る
GH-PS2-0025	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0026	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0027	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0028	明	点/勝敗/当たり外れが残る
GH-PS2-0029	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0030	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0031	明	点/勝敗/当たり外れが残る
GH-PS2-0032	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0033	不明	選んだだけで正誤も満足も出ない
GH-PS2-0034	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0035	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0036	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0037	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0038	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0039	明	点/勝敗/当たり外れが残る
GH-PS2-0040	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0041	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0042	明	点/勝敗/当たり外れが残る
GH-PS2-0043	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0044	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0045	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0046	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0047	明	点/勝敗/当たり外れが残る
GH-PS2-0048	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0049	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0050	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0051	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0052	明	点/勝敗/当たり外れが残る
GH-PS2-0053	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0054	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0055	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0056	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0057	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0058	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0059	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0060	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0061	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0062	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0063	明	点/勝敗/当たり外れが残る
GH-PS2-0064	明	点/勝敗/当たり外れが残る
GH-PS2-0065	不明	積み上げ型で1プレイの終わりに正誤が出ない
GH-PS2-0066	不明	選んだだけで正誤も満足も出ない
GH-PS2-0067	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0068	不明	選んだだけで正誤も満足も出ない
GH-PS2-0069	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0070	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0071	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0072	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0073	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0074	明	点/勝敗/当たり外れが残る
GH-PS2-0075	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0076	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0077	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0078	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0079	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0080	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0081	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0082	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0083	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0084	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0085	不明	選んだだけで正誤も満足も出ない
GH-PS2-0086	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0087	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0088	明	点/勝敗/当たり外れが残る
GH-PS2-0089	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0090	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0091	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0092	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0093	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0094	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0095	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0096	不明	積み上げ型で1プレイの終わりに正誤が出ない
GH-PS2-0097	明	点/勝敗/当たり外れが残る
GH-PS2-0098	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0099	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0100	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0101	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0102	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0103	不明	選んだだけで正誤も満足も出ない
GH-PS2-0104	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0105	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0106	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0107	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0108	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0109	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0110	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0111	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0112	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0113	明	点/勝敗/当たり外れが残る
GH-PS2-0114	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0115	明	点/勝敗/当たり外れが残る
GH-PS2-0116	明	点/勝敗/当たり外れが残る
GH-PS2-0117	明	点/勝敗/当たり外れが残る
GH-PS2-0118	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0119	明	点/勝敗/当たり外れが残る
GH-PS2-0120	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0121	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0122	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0123	明	点/勝敗/当たり外れが残る
GH-PS2-0124	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0125	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0126	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0127	明	点/勝敗/当たり外れが残る
GH-PS2-0128	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0129	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0130	明	点/勝敗/当たり外れが残る
GH-PS2-0131	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0132	不明	選んだだけで正誤も満足も出ない
GH-PS2-0133	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0134	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0135	不明	選んだだけで正誤も満足も出ない
GH-PS2-0136	明	点/勝敗/当たり外れが残る
GH-PS2-0137	不明	選んだだけで正誤も満足も出ない
GH-PS2-0138	不明	選んだだけで正誤も満足も出ない
GH-PS2-0139	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0140	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0141	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0142	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0143	明	点/勝敗/当たり外れが残る
GH-PS2-0144	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0145	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0146	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0147	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0148	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0149	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0150	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0151	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0152	不明	選んだだけで正誤も満足も出ない
GH-PS2-0153	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0154	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0155	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0156	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0157	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0158	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0159	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0160	不明	選んだだけで正誤も満足も出ない
GH-PS2-0161	不明	選んだだけで正誤も満足も出ない
GH-PS2-0162	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS2-0163	半	正誤は出るが、点や記録として残るものが play に無い
GH-PSP-0001	明	点/勝敗/当たり外れが残る
GH-PSP-0002	半	正誤は出るが、点や記録として残るものが play に無い
GH-PSP-0003	明	点/勝敗/当たり外れが残る
GH-PSP-0004	明	点/勝敗/当たり外れが残る
GH-PSP-0005	明	点/勝敗/当たり外れが残る
GH-PSP-0006	明	点/勝敗/当たり外れが残る
GH-PSP-0007	明	点/勝敗/当たり外れが残る
GH-PSP-0008	半	正誤は出るが、点や記録として残るものが play に無い
GH-PSP-0009	半	正誤は出るが、点や記録として残るものが play に無い
GH-PSP-0010	明	点/勝敗/当たり外れが残る
GH-PSP-0011	明	点/勝敗/当たり外れが残る
GH-PSP-0012	半	正誤は出るが、点や記録として残るものが play に無い
GH-Wii-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-Wii-0002	明	点/勝敗/当たり外れが残る
GH-Wii-0003	半	正誤は出るが、点や記録として残るものが play に無い
GH-Wii-0004	半	正誤は出るが、点や記録として残るものが play に無い
GH-Wii-0005	半	正誤は出るが、点や記録として残るものが play に無い
GH-Wii-0006	明	点/勝敗/当たり外れが残る
GH-Wii-0007	半	正誤は出るが、点や記録として残るものが play に無い
GH-Wii-0008	半	正誤は出るが、点や記録として残るものが play に無い
GH-WiiU-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-WiiU-0002	半	正誤は出るが、点や記録として残るものが play に無い
GH-WiiU-0003	半	正誤は出るが、点や記録として残るものが play に無い
# --- 第1波(tier1.txt)は行単位で明を明示 ---
GH-DS-0025	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS2-0130	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS-0104	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS-0037	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS-0084	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-DS-0045	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS-0105	明	残り枚数が数字
GH-PS-0111	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-DS-0008	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS2-0027	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS-0050	明	第1波: 終了時に点/勝敗/当たり外れを必ず出す設計にする
GH-PS-0027	明	停止位置の差がメートルで残る
GH-DS-0038	明	指した矛盾の正誤が出る
GH-PS-0091	明	もった秒数が記録
GH-PS2-0017	明	2人の勝敗
GH-Wii-0008	明	最後の1人=勝敗
GH-PS-0113	明	捕まえた/逃げ切ったの勝敗
GH-PS2-0034	明	勝敗+見つかった理由
GH-PS-0003	明	吉凶が結果文字で残る
GH-3DS-0002	明	正誤と残り回数
